Number of Vehicles,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
2,2,1,3,3,1,2,23,1
2,2,2,4,2,1,1,13,1
2,2,2,4,1,1,2,45,1
1,3,2,4,3,1,1,52,1
1,3,2,4,3,1,1,28,1
1,3,2,4,1,1,1,70,1
1,2,2,1,1,1,2,22,1
2,2,2,4,2,1,1,22,1
3,3,1,1,1,1,2,33,1
1,3,1,1,1,1,2,53,1
1,2,1,4,1,1,2,20,1
2,2,1,1,1,1,1,41,1
2,2,1,1,2,2,1,43,1
2,2,1,1,1,1,1,56,1
2,2,1,1,1,1,2,22,1
1,3,1,4,3,1,2,38,4
2,2,1,1,1,1,1,41,4
2,2,1,1,1,1,1,51,1
2,2,1,1,1,1,1,49,1
1,3,1,1,3,2,2,38,1
1,3,1,1,3,1,1,8,1
1,3,2,1,1,1,1,18,1
2,2,2,1,2,1,1,49,1
2,2,2,1,2,1,2,47,1
2,2,1,1,1,1,2,19,1
2,2,1,1,2,1,1,28,1
1,1,2,1,2,1,2,23,2
2,1,1,1,2,1,1,40,1
1,1,1,1,2,2,1,84,2
1,2,3,1,1,1,1,30,1
1,1,1,1,1,2,1,77,3
1,1,1,1,1,1,1,80,1
2,1,1,1,1,1,1,57,1
1,1,2,1,3,1,1,54,1
1,1,2,1,3,1,2,18,1
2,1,2,1,1,1,2,51,1
3,1,1,1,1,1,1,41,3
2,1,3,1,1,1,1,21,3
2,1,1,1,1,1,2,58,1
2,1,1,1,2,1,2,25,1
2,2,2,1,1,1,2,51,1
2,2,2,1,2,1,2,24,1
3,2,2,1,1,1,2,25,1
3,2,2,1,2,1,2,23,1
3,2,2,1,1,1,1,38,1
3,1,1,1,1,1,1,24,3
1,1,1,1,3,1,2,50,1
2,1,1,1,1,1,1,20,3
2,1,1,1,1,2,2,29,1
2,1,1,1,2,1,2,26,1
2,1,2,1,2,1,2,21,1
1,2,2,1,1,1,1,38,3
2,1,1,1,1,1,2,40,1
2,1,1,1,1,1,2,41,1
2,1,1,1,2,1,2,14,1
2,1,1,1,1,1,1,57,1
2,1,1,1,1,1,2,46,1
1,1,1,1,3,1,1,6,1
1,1,1,1,3,2,1,23,1
2,1,1,1,1,1,2,46,1
2,1,2,1,1,1,2,59,1
2,1,2,1,2,1,2,59,1
2,1,2,1,1,1,1,22,3
1,1,1,1,3,1,2,53,4
2,1,2,1,1,1,1,38,1
2,1,2,1,2,1,2,31,1
2,1,2,1,1,1,1,27,1
2,1,1,1,1,1,1,15,3
3,1,1,1,1,1,1,32,1
3,1,1,1,1,1,2,33,1
2,2,1,2,1,1,2,25,1
2,1,1,1,1,2,2,23,1
2,1,1,1,2,1,2,25,1
2,2,3,1,1,1,2,54,1
3,2,2,1,1,1,2,41,1
2,2,2,2,1,1,1,25,1
2,2,2,2,2,1,2,17,1
2,2,1,1,1,1,1,26,3
2,2,1,1,1,1,1,68,1
2,1,1,1,1,1,1,25,1
2,1,1,1,2,1,1,32,1
1,1,1,1,2,2,2,66,2
1,1,1,1,3,1,1,22,1
2,1,1,1,1,1,2,26,3
2,1,1,1,1,1,2,54,1
2,1,2,1,1,1,2,51,1
3,1,1,1,2,1,1,19,1
2,1,1,1,1,1,1,24,3
2,2,1,1,1,1,1,13,3
2,1,1,1,1,1,1,63,1
2,1,1,1,1,1,2,43,1
2,1,1,1,2,1,1,5,1
2,1,1,1,2,1,2,9,1
2,1,2,1,1,1,2,31,1
2,1,3,1,1,1,1,52,1
3,1,1,1,1,1,2,40,1
2,2,1,1,1,1,1,24,3
2,1,1,1,1,1,2,48,1
1,1,1,1,1,1,2,36,1
1,1,1,1,2,1,2,21,1
1,1,1,1,2,1,1,2,1
2,1,2,1,1,1,1,36,1
1,2,1,1,1,1,1,48,3
1,1,1,1,2,2,2,23,1
2,2,2,1,1,1,2,22,1
2,2,2,1,1,1,2,32,1
2,1,1,1,1,1,1,23,1
2,1,1,1,2,1,1,22,1
2,1,1,1,2,1,1,21,4
2,1,1,1,2,1,1,24,4
1,1,2,1,3,2,1,66,2
2,1,1,1,1,1,1,42,3
2,1,2,1,2,1,2,19,1
2,1,2,1,1,1,1,18,1
2,1,2,1,2,1,2,21,1
