Number of Vehicles,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
2,1,1,1,2,1,1,83,2
2,1,1,1,2,1,2,70,2
1,1,1,1,3,1,1,73,1
1,1,1,1,2,1,2,43,1
2,1,2,1,1,1,1,44,1
2,1,2,1,2,1,2,12,1
2,1,2,1,2,1,1,14,1
1,1,1,1,1,1,1,25,3
2,1,1,1,1,1,1,40,1
2,1,1,1,1,1,1,42,1
1,1,1,1,3,1,2,35,4
2,1,1,1,1,2,1,27,3
1,1,1,1,3,1,1,5,1
2,1,1,1,1,1,2,21,1
1,1,1,1,3,2,2,28,2
1,1,1,1,3,1,1,12,4
2,1,1,1,1,2,1,44,3
1,1,1,1,3,2,1,12,1
2,1,1,1,2,1,1,38,1
1,1,2,1,3,1,1,19,1
1,1,1,1,2,1,2,26,2
3,1,1,1,2,1,2,47,1
2,1,1,1,1,1,1,34,3
2,1,1,1,1,1,2,44,3
2,1,1,1,1,1,1,21,3
1,1,1,1,3,1,2,70,1
2,1,1,1,1,1,1,57,3
1,1,1,1,3,1,2,33,1
1,1,1,1,2,1,2,39,2
2,1,1,1,1,1,1,44,2
2,1,1,1,2,1,1,24,3
1,1,1,1,3,1,2,43,1
1,1,1,1,3,1,2,43,1
1,1,1,1,3,1,1,14,1
2,1,1,1,1,1,1,50,3
2,1,1,1,2,1,2,23,1
2,1,1,1,1,1,1,53,1
2,1,1,1,1,1,1,57,1
5,1,1,1,1,1,2,27,1
5,1,1,1,2,1,2,27,1
2,1,1,1,1,1,1,25,3
2,1,1,1,1,1,2,38,1
1,1,1,1,2,1,2,21,2
2,1,1,1,1,1,1,44,1
3,2,1,1,1,1,1,52,1
1,2,2,1,3,1,1,52,1
1,2,2,1,3,1,2,51,1
1,1,3,1,2,2,1,34,1
1,2,1,5,3,1,2,23,6
2,1,1,1,1,1,2,27,3
1,2,1,1,2,1,2,54,1
1,2,1,1,2,1,2,8,1
1,1,1,1,3,1,1,5,1
2,2,1,2,1,2,1,42,3
2,2,1,2,1,1,1,40,1
2,1,1,1,1,1,2,50,3
2,1,1,1,1,1,2,22,1
2,1,1,1,1,2,1,55,3
2,1,2,1,1,3,1,38,3
2,1,2,1,2,2,2,33,3
1,2,2,2,3,2,1,20,1
2,2,1,2,1,1,2,21,3
3,2,1,1,1,2,2,19,1
3,2,1,1,1,2,2,34,1
2,1,1,1,1,1,1,49,3
1,1,1,1,3,1,2,9,1
2,1,1,1,1,1,1,56,1
2,1,1,1,2,1,1,56,1
2,1,1,1,2,1,1,45,1
2,1,1,1,2,1,2,45,1
2,1,1,1,2,1,2,45,1
2,1,1,1,2,2,1,17,3
2,1,1,1,2,2,1,19,3
2,1,1,1,1,1,2,40,1
5,1,1,1,1,1,1,54,1
5,1,1,1,2,1,2,52,1
5,1,1,1,1,1,1,42,1
5,1,1,1,1,1,1,55,4
2,1,1,1,1,1,1,45,1
2,2,1,1,1,1,2,41,1
2,1,1,1,1,1,1,45,1
3,1,1,1,1,1,1,24,1
3,1,1,1,1,1,1,19,1
1,1,2,1,3,1,1,15,1
2,1,1,1,1,1,1,31,3
2,1,1,1,1,1,1,23,3
2,1,1,1,1,1,1,39,3
3,1,1,1,1,1,1,34,1
2,1,2,1,1,1,2,20,1
2,1,2,1,2,1,2,18,1
2,1,1,1,1,1,1,37,3
1,2,1,2,3,1,2,12,1
3,2,2,2,1,1,2,25,3
2,1,1,1,1,1,2,70,1
3,1,1,1,1,1,1,53,1
3,1,1,1,2,1,2,45,1
1,1,1,1,3,1,1,11,1
2,1,1,1,1,1,2,27,1
2,1,1,1,2,1,1,43,1
2,1,1,1,2,1,1,18,1
2,1,1,1,2,1,1,16,1
1,1,2,1,1,1,1,33,1
1,1,1,1,3,2,2,6,1
2,1,1,1,2,1,1,43,1
3,1,1,1,1,1,2,23,1
2,1,1,1,1,1,1,55,1
2,1,1,1,2,1,2,20,1
1,1,1,1,3,1,1,55,6
2,1,1,1,1,1,2,34,1
2,1,1,1,1,1,1,55,3
2,1,1,1,2,1,2,51,2
2,1,1,1,1,1,1,27,1
2,1,1,1,1,1,1,21,3
2,1,1,1,1,1,2,43,1
2,1,1,1,1,2,1,29,3
2,1,1,1,1,1,1,47,3
1,1,1,1,3,2,2,54,6
2,1,1,1,1,1,1,27,3
2,1,1,1,1,2,1,27,1
2,1,1,1,1,1,1,30,1
2,1,1,1,1,1,1,58,1
2,1,1,1,2,1,2,14,1
2,1,1,1,1,1,2,31,1
1,1,2,1,1,2,2,35,1
1,1,2,1,1,1,1,23,1
2,1,1,1,1,1,1,53,1
1,1,1,1,1,1,1,39,4
2,1,1,1,1,1,1,46,3
1,1,1,1,3,1,1,16,2
2,1,1,1,1,1,1,50,4
2,1,1,1,1,1,1,72,1
2,1,2,1,1,1,1,39,1
2,1,2,1,2,1,2,37,1
2,1,1,1,1,1,2,19,3
1,1,1,1,2,2,2,47,2
2,1,1,1,2,1,2,42,1
2,1,1,1,1,1,2,34,1
2,1,1,1,2,1,2,23,1
2,1,1,1,1,2,1,25,3
2,1,1,1,1,1,2,27,1
2,1,2,1,1,1,1,35,1
1,1,1,1,3,1,1,35,2
2,1,1,1,1,1,2,36,3
1,1,1,1,2,1,2,56,2
1,1,1,1,2,1,2,20,2
1,1,1,1,2,1,1,47,2
1,1,1,1,2,1,2,68,2
2,1,1,1,2,1,2,20,1
1,1,1,1,2,1,2,30,2
2,1,2,1,1,1,1,33,1
2,1,1,1,1,1,1,38,1
2,1,1,1,1,1,1,76,1
3,1,1,1,2,1,2,37,1
3,1,1,1,1,1,1,64,1
2,1,1,1,1,1,1,23,1
2,2,1,2,1,1,2,65,1
3,2,1,2,1,1,2,30,1
3,2,1,2,1,1,1,57,1
1,1,1,1,3,1,1,86,1
2,1,1,1,1,1,2,46,1
2,2,1,1,1,1,1,85,1
2,2,1,1,2,1,2,17,2
2,2,1,2,1,1,1,46,3
1,1,1,1,3,1,1,6,1
1,1,1,1,3,1,1,16,1
1,2,1,2,1,1,2,31,1
1,2,1,2,1,1,1,22,3
1,2,1,1,3,2,1,15,1
1,1,1,1,3,1,2,21,1
2,1,1,1,1,1,1,59,3
2,1,1,1,2,1,2,8,1
2,1,1,1,2,1,2,6,1
2,1,1,1,2,1,2,45,1
2,1,1,1,2,1,2,24,1
4,1,1,1,1,1,1,40,1
5,1,1,1,2,1,2,6,1
5,1,1,1,1,1,2,27,1
5,1,1,1,1,1,2,23,1
3,1,1,1,1,3,1,25,1
3,1,1,1,1,2,2,46,1
3,1,1,1,1,1,1,29,3
2,1,3,1,1,2,1,21,3
2,2,2,5,1,1,1,19,1
2,2,2,5,1,1,1,22,1
2,1,2,1,1,1,1,27,1
2,1,1,1,1,1,1,24,1
2,1,1,1,1,1,2,60,1
2,1,1,1,1,1,1,27,1
1,1,1,1,1,1,1,23,3
2,1,1,1,1,1,2,55,1
2,1,1,1,1,1,1,63,4
2,1,1,1,2,1,2,50,4
1,1,1,1,1,1,2,31,3
2,1,1,5,2,1,2,34,2
1,1,1,1,3,2,2,34,2
4,1,1,1,1,1,1,17,1
4,1,1,1,1,1,1,32,1
4,1,1,1,1,1,2,36,1
4,1,1,1,1,1,2,55,1
6,1,1,1,1,2,1,28,1
1,1,1,1,1,1,1,30,3
2,1,1,1,1,1,1,64,3
2,1,1,1,1,1,1,48,3
2,1,1,1,1,2,1,37,4
1,1,2,1,1,2,1,24,1
2,1,1,1,1,1,1,44,3
2,1,1,1,1,1,2,65,1
3,1,1,1,2,1,2,50,1
1,1,1,1,1,1,1,20,1
1,1,1,1,2,1,1,18,1
1,1,1,1,2,2,1,16,1
2,1,1,1,1,1,2,24,3
2,1,1,1,1,1,1,43,3
1,1,2,1,2,2,1,24,1
1,1,1,1,3,1,1,24,1
2,1,1,1,1,1,1,62,4
2,1,1,1,1,1,1,52,1
1,1,1,1,3,1,1,7,1
1,1,2,1,2,1,2,23,1
1,1,1,1,3,2,2,2,4
2,1,1,1,1,1,1,56,1
2,1,1,1,2,1,2,54,1
2,1,1,1,2,1,2,16,1
2,1,1,1,2,1,1,21,1
2,1,1,1,1,1,1,29,3
2,1,1,1,1,1,2,24,1
2,1,1,1,2,1,2,25,1
2,1,3,1,1,1,1,51,3
1,1,1,1,1,1,2,38,1
1,1,1,1,3,1,1,21,4
2,1,1,1,1,1,1,24,3
1,1,1,1,3,1,1,31,1
3,1,1,1,1,1,2,32,1
3,1,1,1,1,1,2,28,1
1,1,1,1,1,1,1,35,3
1,2,1,5,1,2,1,55,4
2,1,1,1,1,1,2,52,1
1,1,1,1,2,1,2,53,2
2,1,1,1,1,1,1,12,3
2,1,1,1,1,1,1,20,3
2,1,1,1,1,1,1,29,1
2,1,1,1,1,1,2,19,1
1,1,1,1,2,1,2,85,2
2,1,1,1,1,1,1,27,1
2,1,2,1,2,1,2,25,1
2,1,2,1,2,1,1,27,1
1,1,1,1,3,1,1,28,1
1,1,1,1,3,2,1,9,1
1,1,1,1,3,2,1,17,1
1,1,1,1,2,1,2,79,2
1,1,1,1,3,2,1,56,4
1,2,1,2,1,1,1,57,1
2,1,1,1,2,1,2,72,1
2,1,1,1,1,1,1,41,3
2,1,1,1,2,1,2,12,1
1,1,1,1,1,1,1,63,3
2,1,1,1,1,1,2,22,1
1,2,2,1,2,1,2,41,1
2,1,1,1,1,1,1,66,1
2,1,1,1,2,1,2,58,1
1,1,1,1,3,1,2,26,1
2,1,1,1,1,1,1,51,1
4,1,1,1,1,1,1,56,1
4,1,1,1,2,1,2,57,1
2,1,1,1,1,1,1,48,3
2,1,1,1,1,1,1,29,3
2,1,1,1,1,1,2,43,1
2,1,1,1,1,1,2,45,1
2,2,1,3,1,1,2,24,1
2,2,1,3,1,1,2,37,1
2,1,1,1,1,1,1,40,3
2,1,1,1,1,1,1,49,1
2,1,1,1,2,1,2,63,1
2,1,1,1,2,2,2,68,1
2,1,1,1,1,1,2,59,1
2,1,1,1,1,1,1,27,3
1,1,1,1,1,1,1,52,4
2,1,1,1,1,1,2,22,1
2,1,1,1,2,1,2,7,1
2,1,1,1,1,1,1,65,1
2,1,1,1,1,2,1,25,3
2,1,1,1,1,2,1,67,3
2,1,1,1,2,1,1,21,1
2,1,1,1,1,1,2,25,1
1,1,1,1,3,1,2,14,4
1,1,1,1,1,1,1,24,4
3,1,1,1,2,2,1,78,2
3,1,1,1,2,1,1,77,2
3,1,1,1,2,1,2,20,2
3,1,1,1,2,1,1,49,2
2,1,1,1,1,2,1,27,3
1,1,1,1,3,1,1,49,1
1,1,1,1,3,1,1,10,1
2,1,1,1,1,1,1,19,3
1,1,1,1,2,1,2,19,1
1,1,1,1,2,1,2,33,1
2,1,1,1,1,1,2,40,1
2,1,1,1,1,1,2,31,1
2,1,1,1,2,1,1,40,1
2,1,1,1,1,1,1,21,3
2,1,1,1,1,1,1,20,1
1,1,1,1,3,1,2,13,1
2,1,1,1,1,1,1,48,3
2,1,1,1,1,2,1,21,3
2,1,1,1,2,1,2,87,2
3,1,1,1,2,1,1,30,4
1,1,1,1,3,2,1,63,1
2,1,1,1,1,2,1,28,3
2,1,1,1,1,1,1,27,3
2,1,1,1,3,1,1,48,1
1,1,1,1,3,2,2,85,1
1,1,1,1,3,1,1,25,1
2,1,1,1,1,1,1,32,1
1,1,1,1,1,1,1,49,4
1,1,1,1,3,1,2,34,2
2,1,1,1,1,1,1,53,1
3,1,1,1,1,1,2,28,1
2,1,1,1,1,1,1,39,1
2,1,1,1,2,1,1,8,1
2,1,1,1,2,1,2,25,1
2,1,1,1,2,1,2,10,1
1,1,1,1,1,2,1,44,3
2,1,1,1,1,2,1,47,3
3,1,1,1,1,1,1,58,1
3,1,1,1,1,1,1,46,1
3,1,1,1,1,1,2,41,1
4,1,1,1,1,1,2,46,1
4,1,1,1,1,1,2,24,1
2,1,1,1,2,1,1,20,4
2,1,1,1,1,1,1,12,3
1,1,1,1,3,1,1,36,1
1,1,1,1,2,1,2,3,2
1,1,1,1,3,1,2,28,1
1,1,1,1,3,1,1,11,1
2,1,1,1,1,1,1,11,3
3,1,1,1,1,1,1,47,1
3,1,1,1,2,1,2,89,1
2,1,1,5,1,1,2,29,1
2,1,1,5,2,1,2,26,1
1,1,1,1,1,1,2,43,1
2,1,1,1,1,1,2,44,3
1,1,1,1,1,2,1,43,3
3,1,1,1,1,1,1,47,4
2,1,1,1,1,1,2,28,1
3,1,1,1,1,1,2,34,1
2,1,1,1,1,1,1,44,1
1,1,1,1,2,1,1,5,1
1,1,1,1,2,1,2,7,1
1,1,2,1,3,1,1,26,1
1,1,2,1,3,1,2,19,1
1,2,1,1,1,1,2,47,1
1,1,1,1,1,2,1,24,3
2,1,1,1,1,1,1,23,3
1,2,1,1,3,1,1,8,1
2,1,1,1,1,1,1,48,3
2,1,1,1,1,1,2,28,1
2,1,1,1,1,1,2,39,1
1,1,1,1,1,1,1,30,1
1,2,1,1,1,1,1,51,1
1,2,1,1,2,1,2,61,1
3,1,1,1,3,1,1,36,1
1,1,1,1,3,1,1,84,4
2,1,1,1,1,1,2,48,1
2,1,1,1,1,1,1,39,3
2,1,1,1,1,1,1,26,3
2,1,1,1,1,2,1,51,3
2,1,1,1,2,1,2,73,2
1,1,1,1,3,2,1,43,1
2,1,1,1,1,1,2,41,1
2,1,1,1,1,1,2,21,1
2,1,1,1,2,1,1,21,1
2,1,2,1,1,1,2,18,1
2,1,2,1,2,1,1,47,1
2,1,1,1,1,1,2,39,1
2,1,1,1,2,2,2,30,1
2,1,1,1,1,1,2,36,1
2,1,1,1,1,1,2,26,1
2,1,1,1,2,1,2,26,1
2,1,1,1,2,1,2,24,1
2,1,1,1,2,1,2,25,1
1,1,1,1,3,1,1,20,1
2,1,1,1,1,1,1,14,3
2,2,1,2,2,1,2,17,1
2,2,1,2,2,1,2,19,1
2,2,1,2,2,1,2,16,1
2,1,1,1,1,1,1,11,3
2,1,1,1,2,1,2,67,2
1,1,1,1,3,1,1,3,1
2,1,1,1,1,2,1,33,3
2,1,1,1,1,1,1,49,3
2,1,1,1,1,1,1,64,1
2,1,1,1,1,1,1,14,3
2,1,1,1,1,1,2,38,1
3,1,1,1,1,1,2,30,1
3,1,1,1,2,1,2,53,2
3,1,1,1,2,1,2,57,2
3,1,1,1,2,1,2,61,2
3,1,1,1,2,1,2,77,2
3,1,1,1,2,1,2,68,2
3,1,1,1,2,1,1,88,2
3,1,1,1,2,1,2,72,2
3,1,1,1,2,1,2,56,2
3,1,1,1,2,1,2,58,2
3,1,1,1,2,1,1,52,2
1,1,1,1,2,2,2,93,2
1,1,1,1,3,1,2,16,1
2,1,1,1,1,2,1,37,3
2,1,1,1,1,1,1,44,3
1,1,1,1,2,1,1,53,2
2,1,1,1,1,1,1,26,1
2,1,1,1,1,1,1,89,1
1,1,1,1,2,1,2,21,2
1,1,1,1,2,1,2,78,2
1,2,2,1,2,2,1,22,1
2,1,1,1,1,1,1,19,3
2,2,1,1,1,1,1,30,3
2,2,1,1,1,1,1,12,3
2,1,1,1,2,1,2,54,1
2,1,1,1,1,1,1,40,3
2,1,1,1,1,1,1,48,1
2,1,1,1,2,1,1,11,1
2,1,1,1,1,1,1,24,1
2,1,3,1,3,2,1,42,1
2,1,1,1,1,1,1,26,4
2,1,1,1,2,1,1,19,4
2,1,1,1,2,1,1,55,1
2,1,1,1,1,1,1,58,3
1,1,1,1,2,1,2,78,2
1,1,1,1,2,1,2,79,2
3,1,1,1,1,1,1,17,1
2,1,1,1,1,2,1,45,3
1,2,2,2,1,1,1,19,1
1,2,3,2,3,1,1,28,1
2,1,1,1,1,2,2,33,3
2,1,1,1,1,1,2,55,1
2,1,1,1,1,1,1,39,1
2,1,1,1,1,1,2,72,1
2,1,1,1,1,1,2,30,1
2,1,1,1,2,2,2,79,2
2,1,1,1,1,1,1,26,1
2,1,1,1,1,1,2,34,2
2,1,1,1,1,1,1,68,1
1,1,1,1,1,1,1,44,1
2,1,1,1,1,1,2,26,3
2,1,1,1,1,2,1,11,3
2,1,1,1,1,2,1,60,3
2,1,3,1,2,1,2,68,1
2,1,3,1,2,1,2,42,1
2,1,3,1,2,1,2,32,1
2,1,1,1,1,1,1,51,3
2,1,1,1,1,1,1,31,1
2,1,1,1,1,1,2,24,3
3,1,1,1,1,1,1,87,1
2,1,1,1,1,1,1,27,3
2,1,1,1,1,1,2,32,1
2,1,1,1,2,1,2,22,1
1,1,1,1,1,1,1,53,1
2,1,1,1,1,1,1,25,3
2,1,1,1,1,1,2,31,1
2,1,1,1,1,1,2,42,1
2,1,1,1,2,1,2,27,1
1,1,1,1,1,1,1,24,3
2,1,2,1,1,1,1,38,3
4,1,1,1,1,1,1,37,1
4,1,1,1,1,1,2,19,1
2,1,1,1,1,1,1,25,3
2,1,1,1,1,1,1,28,3
3,1,1,1,1,2,1,48,3
2,1,1,1,1,1,2,21,1
2,1,1,1,2,1,1,21,1
2,1,1,1,2,1,1,21,1
2,1,1,1,2,1,2,21,1
1,1,1,1,3,1,1,12,1
2,1,1,1,1,1,1,16,3
3,1,1,1,1,1,2,22,1
3,1,1,1,2,1,2,67,1
3,1,1,1,1,1,1,26,1
2,1,1,1,1,1,1,22,3
2,1,1,1,1,1,1,52,1
2,1,1,1,2,1,2,46,1
2,1,1,1,1,1,1,49,1
2,1,1,1,2,1,1,24,1
1,1,1,1,2,1,2,48,2
1,1,1,1,3,2,2,13,1
2,2,1,1,1,1,1,20,3
1,1,1,1,2,2,1,24,1
1,1,2,1,2,2,1,22,1
1,1,2,1,2,1,1,25,1
2,1,1,1,1,1,1,64,3
2,1,1,1,1,2,1,42,3
3,1,1,1,1,1,1,32,1
1,1,1,1,1,1,2,73,1
1,1,1,1,3,1,1,8,1
1,1,1,1,3,1,1,6,1
2,1,1,1,1,1,1,54,4
2,1,1,1,1,1,1,28,1
2,1,1,1,2,1,2,60,1
2,1,1,1,1,1,1,41,1
1,1,1,1,3,1,2,13,1
2,1,1,1,2,1,2,71,1
4,1,1,1,1,1,2,60,1
2,1,1,1,2,1,2,23,2
2,1,1,1,1,1,1,47,3
3,1,2,1,1,2,1,28,1
2,1,1,1,1,1,1,80,1
2,1,1,1,1,1,1,59,3
2,1,1,1,1,1,1,13,3
3,1,1,1,1,1,1,59,1
2,1,1,1,1,1,2,28,1
2,1,1,1,2,1,2,29,1
1,1,1,1,3,1,1,9,1
1,1,1,1,3,1,1,24,1
2,1,1,1,1,1,2,6,3
2,1,1,1,1,1,1,29,3
2,1,1,1,1,1,2,34,1
2,1,1,1,2,1,2,34,1
2,1,1,1,1,1,1,81,3
2,1,1,1,1,1,1,43,4
3,1,1,1,2,1,1,60,4
2,1,1,1,1,1,1,48,3
2,1,1,1,1,1,2,48,3
1,2,1,2,3,1,2,27,1
2,2,1,1,2,1,2,27,1
1,1,1,1,1,1,1,20,1
2,1,1,1,1,1,2,39,3
2,1,3,1,1,1,1,26,3
2,1,1,1,1,2,1,45,3
2,1,1,1,1,1,1,36,1
2,1,1,1,1,1,1,45,4
2,1,1,1,1,1,2,46,3
3,1,1,1,1,2,1,19,1
3,1,1,1,1,1,1,38,4
2,1,2,1,1,1,1,62,1
2,1,2,1,2,1,1,38,1
2,2,1,2,1,1,1,59,3
2,2,1,2,2,1,2,56,3
2,1,1,1,1,1,1,23,3
1,1,1,1,3,1,1,21,1
4,1,1,1,1,1,1,48,1
2,1,1,1,1,1,1,59,3
1,2,1,5,1,1,1,19,3
1,2,2,3,1,1,1,26,3
2,1,1,1,1,1,2,25,3
1,1,1,1,2,1,2,66,2
2,1,1,1,2,1,1,33,1
2,2,1,1,1,1,1,20,1
1,2,2,3,1,1,1,41,1
4,2,2,2,2,2,2,39,1
2,1,1,1,1,1,1,54,3
2,1,1,1,1,1,2,35,4
1,1,1,1,3,1,2,14,1
2,1,1,1,1,1,2,34,1
2,1,2,1,1,1,1,34,6
2,1,2,1,1,1,2,31,1
2,1,1,1,1,1,2,39,1
2,1,1,1,1,1,2,43,3
3,1,1,1,1,1,2,25,1
3,1,1,1,1,1,2,19,1
3,1,1,1,1,1,2,24,1
1,1,1,1,3,2,1,11,1
1,1,1,1,3,1,1,30,1
2,1,1,1,1,2,2,22,3
2,1,1,1,2,1,2,33,1
2,1,1,1,2,1,1,2,1
1,1,1,1,3,1,1,39,1
2,1,1,1,1,1,1,36,1
2,1,1,1,1,1,1,25,3
2,1,1,1,1,1,2,22,1
1,1,1,1,3,1,2,10,1
1,1,2,1,1,1,1,21,1
2,1,1,5,1,1,1,37,3
2,1,1,1,1,1,1,90,1
2,1,1,1,1,1,1,19,3
1,1,1,1,2,1,1,82,2
1,1,1,1,3,1,1,11,1
2,1,1,1,1,1,2,27,1
1,1,1,1,3,1,2,16,1
1,1,1,1,1,1,1,19,1
1,2,2,1,3,1,1,22,1
5,1,1,1,1,1,1,36,1
1,1,1,1,1,1,1,55,3
2,1,1,1,1,1,2,25,1
2,1,1,1,2,1,1,28,1
2,1,1,1,1,1,2,22,1
1,1,2,1,1,2,2,52,1
1,1,2,1,2,1,2,28,1
1,1,2,1,2,1,1,33,1
1,1,1,1,1,2,1,47,3
2,1,1,1,1,2,1,48,1
2,1,1,1,1,1,2,58,1
2,1,1,1,1,1,1,54,1
2,1,1,1,2,1,1,19,1
2,2,1,2,1,2,1,37,1
2,2,1,2,2,1,2,31,1
1,1,1,1,3,1,2,65,1
2,2,1,2,1,1,1,22,3
1,1,1,1,3,1,1,17,1
1,1,2,1,3,3,1,25,1
2,1,1,1,1,1,1,37,1
2,1,1,1,1,1,2,18,1
2,1,1,1,1,1,2,36,1
2,1,1,1,1,2,1,13,3
2,1,1,1,1,1,1,60,3
2,1,1,1,2,1,1,1,2
2,1,1,1,1,1,2,29,1
2,1,1,1,1,1,2,31,1
2,1,1,1,1,1,1,25,3
2,1,1,1,1,1,2,63,1
2,1,1,1,1,1,2,21,3
1,1,1,1,3,1,2,79,1
2,1,1,1,1,1,2,23,1
2,1,1,1,1,3,1,64,3
1,1,1,1,3,2,1,80,1
1,1,1,1,3,1,1,10,1
1,1,1,1,3,1,2,41,1
2,1,1,1,3,2,1,23,3
1,1,1,1,1,1,1,58,3
2,1,1,1,1,2,1,47,3
1,1,3,1,1,1,2,47,3
2,1,1,1,1,1,1,42,3
2,1,1,1,1,1,1,10,3
4,1,1,1,1,1,1,58,1
1,2,1,1,3,1,1,24,1
2,1,1,1,1,1,2,46,1
1,1,1,1,2,1,2,40,2
1,1,1,1,3,2,1,7,1
1,1,1,1,3,1,2,13,1
1,1,2,1,1,1,1,21,1
2,1,1,1,1,1,1,36,3
1,1,1,1,3,1,2,2,1
1,1,2,1,3,1,1,37,1
1,1,1,1,3,1,1,40,1
1,1,1,1,3,1,2,49,1
2,1,1,1,1,1,1,64,3
1,1,1,1,1,1,2,22,1
1,1,1,1,3,1,1,8,1
2,1,1,1,1,1,2,51,1
2,1,1,1,1,1,1,22,1
2,1,1,1,1,1,1,43,3
2,1,1,1,1,1,2,69,1
2,1,1,1,1,3,1,83,1
2,1,1,1,1,1,1,42,3
2,1,1,1,1,1,1,42,3
2,1,1,1,1,2,1,58,3
1,1,1,1,3,1,1,69,3
1,1,1,1,1,1,1,18,1
1,1,1,1,2,1,1,17,1
1,1,1,1,2,1,1,15,1
1,1,1,1,3,1,1,79,3
2,1,1,1,2,1,2,52,2
2,1,1,5,1,1,2,84,1
3,1,1,1,1,1,1,31,1
2,1,1,5,1,1,1,31,1
2,1,1,5,2,1,2,30,1
4,2,1,1,1,1,2,41,1
2,1,1,1,2,1,2,21,2
2,1,1,1,2,1,2,15,2
2,1,1,1,2,1,2,44,2
1,1,1,1,2,1,2,46,2
2,1,1,1,1,1,2,57,3
2,1,1,1,2,1,2,20,1
2,1,1,1,2,1,2,66,1
4,1,2,1,1,1,2,23,1
4,1,2,1,1,1,1,50,1
1,1,1,1,3,1,1,22,1
2,1,1,1,1,1,2,30,1
2,1,1,1,2,1,2,30,1
2,1,1,1,1,1,2,50,1
2,1,1,1,2,1,2,29,1
2,1,1,1,1,1,2,57,1
2,1,1,1,1,1,1,65,1
2,1,1,1,1,1,1,30,3
2,1,1,1,1,1,1,40,3
1,1,2,1,2,1,2,49,2
2,1,2,1,2,1,2,38,2
1,1,1,5,3,1,1,6,1
2,1,1,1,1,1,1,35,3
2,1,1,1,1,1,2,74,3
1,2,1,2,1,2,1,29,1
2,2,1,2,1,1,1,41,1
3,2,1,2,2,1,1,77,1
2,1,1,1,1,2,1,46,3
2,1,1,1,1,1,2,44,1
2,1,1,1,1,1,1,42,3
2,1,1,1,1,1,1,49,1
2,1,1,1,1,1,1,30,3
2,1,1,1,1,1,2,27,1
2,1,1,1,1,1,2,21,1
2,1,1,1,2,1,2,57,1
2,1,1,1,1,1,1,32,3
2,1,1,1,1,1,1,38,3
2,1,1,1,1,1,1,31,1
2,1,1,1,1,1,1,8,3
2,1,1,1,1,1,1,34,3
2,2,1,1,1,1,2,28,1
2,2,1,1,1,1,2,25,1
3,1,1,1,1,2,1,56,4
1,2,1,1,3,1,2,23,1
2,1,1,1,1,1,1,22,1
2,1,1,1,2,1,1,8,1
2,1,1,1,1,2,1,42,3
2,1,1,1,1,1,1,25,1
3,1,1,1,1,1,2,25,1
3,1,1,1,1,1,1,44,1
2,1,1,1,1,2,1,31,3
2,1,1,1,1,1,1,30,1
2,1,1,1,1,1,1,6,3
1,1,1,1,3,1,1,10,1
2,1,1,1,1,1,1,76,1
2,1,1,1,1,1,2,23,1
5,1,2,1,1,2,1,22,1
5,1,2,1,2,1,1,19,1
5,1,2,1,2,1,1,21,2
5,1,2,1,2,1,2,44,2
5,1,2,1,2,1,2,25,2
2,2,1,1,1,2,1,38,1
2,2,1,1,1,1,1,39,1
2,2,1,1,2,2,2,33,1
2,2,1,1,2,2,2,26,1
2,2,1,1,1,1,1,22,1
2,2,1,1,2,1,2,55,1
2,2,1,1,1,1,1,57,1
2,1,1,1,2,1,2,64,1
2,1,1,1,1,1,2,11,3
2,1,1,1,1,1,1,25,3
2,1,1,1,1,1,2,29,1
2,1,1,1,2,1,2,52,1
2,1,1,1,1,1,1,20,1
4,1,1,1,1,1,2,18,1
3,1,1,1,1,1,1,47,4
1,1,1,1,1,1,1,77,1
2,2,1,1,1,1,2,57,1
3,1,1,1,2,1,2,16,1
3,1,1,1,2,1,2,54,1
2,1,1,1,2,2,1,16,3
3,1,1,1,1,1,2,28,1
2,1,1,1,2,1,2,56,1
2,1,1,1,2,2,2,23,1
2,1,1,1,1,1,1,65,3
2,1,1,1,1,1,1,42,3
2,1,1,1,1,1,1,54,3
2,1,1,1,2,1,2,53,3
2,1,1,1,1,1,1,29,3
2,1,1,1,1,1,1,45,3
1,1,1,1,2,1,1,8,1
2,1,1,1,2,1,1,37,1
1,2,1,1,1,1,1,26,1
1,2,1,1,2,1,2,26,1
2,1,1,1,1,1,1,42,3
2,1,2,1,1,1,1,19,3
2,1,1,1,1,1,1,82,1
2,1,1,1,1,1,1,24,3
2,1,1,1,2,1,1,84,1
2,1,1,1,1,1,1,46,4
2,1,1,1,1,3,1,26,6
2,1,1,1,2,2,1,50,6
2,1,1,1,2,2,1,7,6
2,1,1,1,2,2,1,5,6
2,1,1,1,2,1,1,8,6
1,1,1,1,1,1,1,59,1
2,1,1,1,1,2,1,31,3
2,1,1,1,1,1,1,42,3
2,1,1,1,1,1,1,33,3
2,1,1,1,1,1,1,24,3
2,1,1,1,1,1,1,24,3
2,1,1,1,1,1,1,46,3
2,1,1,1,1,1,1,39,3
3,1,1,1,1,1,1,34,1
1,1,2,1,3,1,2,22,1
2,1,1,1,2,1,1,16,1
2,1,1,1,2,1,1,17,1
2,1,1,1,1,1,2,27,1
2,1,1,1,1,2,1,26,3
